Year,Quarter,Product Model,5G Capability,Region,Units Sold,Revenue ($),Market Share (%),Regional 5G Coverage (%),5G Subscribers (millions),Avg 5G Speed (Mbps),Preference for 5G (%),Profit,time_id,product_id,region_id,fact_id
2020,Q2,Galaxy Note20,No,Latin America,29178,41803911.05,2.59,47.84,16.52,134.32,74.93,8360782.21,6,4,2,79
2020,Q2,Galaxy S21,No,Asia-Pacific,8601,32922566.24,2.99,82.16,47.56,139.42,52.96,6584513.248,6,5,1,80
2020,Q2,Galaxy A32 5G,Yes,North America,51214,22604101.45,3.88,98.74,29.87,153.45,54.94,4520820.29,6,6,4,81
2020,Q2,Galaxy A52 5G,Yes,Europe,58086,50254952.18,6.19,46.93,40.93,130.68,54.46,10050990.436,6,7,5,82
2020,Q2,Galaxy A73 5G,Yes,Middle East & Africa,63974,66783552.34,4.99,43.38,39.44,264.15,79.22,13356710.468000002,6,8,3,83
2020,Q2,Galaxy Z Fold2 5G,Yes,North America,47829,,3.59,88.79,32.57,175.9,45.25,0.0,6,9,4,84
2020,Q2,Galaxy Z Flip3 5G,Yes,Europe,41163,19005446.11,4.79,51.77,44.26,210.86,88.02,3801089.222,6,10,5,85
2020,Q2,Galaxy S22 5G,Yes,North America,27381,65294982.83,2.65,62.02,25.37,130.24,86.46,13058996.566,6,11,4,86
2020,Q2,Galaxy Z Fold3 5G,Yes,Latin America,61462,,5.779.999.999.999.990,89.44,51.04,280.82,85.04,0.0,6,12,2,87
2020,Q2,Galaxy A14 5G,Yes,Latin America,10455,27982805.1,6.83,69.1,10.39,105.02,75.93,5596561.0200000005,6,13,2,88
2020,Q2,Galaxy S23 5G,Yes,Latin America,53896,,3.17,75.16,22.74,92.93,86.89,0.0,6,14,2,89
2020,Q2,Galaxy Z Flip5 5G,Yes,Asia-Pacific,47830,79207664.34,3.46,58.97,52.43,236.28,50.08,15841532.868,6,15,1,90
2020,Q3,Galaxy S10,No,Middle East & Africa,27328,31739575.95,-0.42,68.61,19.37,57.25,41.31,6347915.19,7,1,3,91
2020,Q3,Galaxy Note10,No,Europe,38772,27841226.88,34.800.000.000.000.000,60.92,27.62,136.07,84.47,5568245.376,7,2,5,92
2020,Q3,Galaxy S20,No,North America,7511,31385211.28,1.48,60,16.800.000.000.000.000,52.52,85.45,6277042.256000001,7,3,4,93
2020,Q3,Galaxy Note20,No,Middle East & Africa,16212,59842662.15,3.600.000.000.000.000,81.98,6.720.000.000.000.000,59.98,45.43,11968532.43,7,4,3,94
2020,Q3,Galaxy S21,No,Middle East & Africa,44767,,2.66,65.67,24.92,94.9,53.63,0.0,7,5,3,95
2020,Q3,Galaxy A32 5G,Yes,Asia-Pacific,29628,,5.109.999.999.999.990,88.32,13.49,66.69,63.04,0.0,7,6,1,96
2020,Q3,Galaxy A52 5G,Yes,North America,63137,23567297.83,4.79,66.15,49.64,94.47,82.6,4713459.566,7,7,4,97
2020,Q3,Galaxy A73 5G,Yes,Europe,56115,16158944.45,6.22,91.44,29.96,193.54,89.31,3231788.89,7,8,5,98
2020,Q3,Galaxy Z Fold2 5G,Yes,Middle East & Africa,33872,60050676.8,2.94,88.63,27.11,186.09,61.17,12010135.36,7,9,3,99
2020,Q3,Galaxy Z Flip3 5G,Yes,Latin America,56598,,6.61,77.65,26.15,69.04,88.7,0.0,7,10,2,100
2020,Q3,Galaxy S22 5G,Yes,Europe,8082,53518254.12,3.35,102.49,49.53,289.41,93.02,10703650.824000001,7,11,5,101
2020,Q3,Galaxy Z Fold3 5G,Yes,Latin America,53108,8982957.78,06.02,47.8,32.45,100.39,59.44,1796591.5559999999,7,12,2,102
2020,Q3,Galaxy A14 5G,Yes,Europe,42820,,6.58,41.010.000.000.000.000,18.12,169.67,79.56,0.0,7,13,5,103
2020,Q3,Galaxy S23 5G,Yes,Europe,55164,,4.77,48.66,29.6,94.48,55.85,0.0,7,14,5,104
2020,Q3,Galaxy Z Flip5 5G,Yes,North America,12993,,3.67,53.23,49.96,236.45,87.73,0.0,7,15,4,105
2020,Q4,Galaxy S10,No,North America,49522,13749933.39,0.73,68.38,46.89,221.54,67.28,2749986.6780000003,8,1,4,106
2020,Q4,Galaxy Note10,No,Asia-Pacific,35672,43822054.96,8.400.000.000.000.000,44.22,46.9,285.05,50.09,8764410.992,8,2,1,107
2020,Q4,Galaxy S20,No,Middle East & Africa,23896,18747121.28,-0.49,32.09,10.83,225.49,56.78,3749424.2560000005,8,3,3,108
2020,Q4,Galaxy Note20,No,North America,7473,19621770.61,3.88,74.66,27.55,177.22,72.36,3924354.122,8,4,4,109
2020,Q4,Galaxy S21,No,Latin America,11913,41627181.2,-0.35,64.46,8.399.999.999.999.990,155.16,44.89,8325436.240000001,8,5,2,110
2020,Q4,Galaxy A32 5G,Yes,Asia-Pacific,39692,34859771.57,6.62,87.81,39.64,189.6,62.18,6971954.314,8,6,1,111
2020,Q4,Galaxy A52 5G,Yes,North America,48805,32349455.4,4.42,99.33,33.79,96.26,57.17,6469891.08,8,7,4,112
2020,Q4,Galaxy A73 5G,Yes,Asia-Pacific,8115,44826833.53,4.65,62.42,41.52,295.85,48.71,8965366.706,8,8,1,113
2020,Q4,Galaxy Z Fold2 5G,Yes,Europe,52951,13524137.65,2.83,73.07,27.79,52.85,70.84,2704827.5300000003,8,9,5,114
2020,Q4,Galaxy Z Flip3 5G,Yes,Middle East & Africa,40353,16476389.24,03.06,46.41,21.11,194.98,54.61,3295277.848,8,10,3,115
2020,Q4,Galaxy S22 5G,Yes,North America,26015,,5.19,92.87,45.67,248.52,85.87,0.0,8,11,4,116
2020,Q4,Galaxy Z Fold3 5G,Yes,North America,11163,,3.84,40.71,45.09,122.22,83.63,0.0,8,12,4,117
2020,Q4,Galaxy A14 5G,Yes,North America,36975,33358884.74,5.359.999.999.999.990,74.28,33.57,72.54,57.77,6671776.948,8,13,4,118
2020,Q4,Galaxy S23 5G,Yes,Latin America,28163,76740547.76,6.5,49.19,23.05,154.42,78.77,15348109.552000001,8,14,2,119
2020,Q4,Galaxy Z Flip5 5G,Yes,Middle East & Africa,49246,5030391.84,06.07,51.07,47.75,137.42,71.5,1006078.368,8,15,3,120
2021,Q1,Galaxy S10,No,North America,44456,14331275.99,6.499.999.999.999.990,61.11,40.37,129.5,66.93,2866255.1980000003,9,1,4,121
2021,Q1,Galaxy Note10,No,Europe,6548,54168172.52,2.64,63.010.000.000.000.000,17.85,279.58,73.97,10833634.504,9,2,5,122
2021,Q1,Galaxy S20,No,Middle East & Africa,36129,28657040.44,0.49,60.6,15.699.999.999.999.900,209.38,62.41,5731408.088,9,3,3,123
2021,Q1,Galaxy Note20,No,Europe,36476,,3.999.999.999.999.990,67.05,29.96,138.12,52.54,0.0,9,4,5,124
2021,Q1,Galaxy S21,No,Middle East & Africa,34090,,3.54,71.27,41.68,171.59,50.17,0.0,9,5,3,125
2021,Q1,Galaxy A32 5G,Yes,Middle East & Africa,30278,12377641.48,3.86,40.510.000.000.000.000,51.79,184.8,61.75,2475528.296,9,6,3,126
2021,Q1,Galaxy A52 5G,Yes,Latin America,57898,19848318.31,4.43,45.27,23.12,277.65,55.07,3969663.662,9,7,2,127
2021,Q1,Galaxy A73 5G,Yes,Europe,44847,14310727.31,05.07,66.56,16.83,97.53,53.5,2862145.4620000003,9,8,5,128
2021,Q1,Galaxy Z Fold2 5G,Yes,Asia-Pacific,6557,41433407.51,2.69,94.68,54.35,127.45,85.11,8286681.502,9,9,1,129
2021,Q1,Galaxy Z Flip3 5G,Yes,Europe,58334,67042799.4,06.02,90.08,10.35,102.66,60.11,13408559.88,9,10,5,130
2021,Q1,Galaxy S22 5G,Yes,North America,42025,46339655.03,4.66,82.85,36.11,176.96,71.11,9267931.006000001,9,11,4,131
2021,Q1,Galaxy Z Fold3 5G,Yes,Asia-Pacific,8612,30287874.85,3.62,54.88,52.25,288.87,72.55,6057574.970000001,9,12,1,132
2021,Q1,Galaxy A14 5G,Yes,Europe,33689,37582037.58,06.06,97.44,25.59,133.77,92.93,7516407.516,9,13,5,133
2021,Q1,Galaxy S23 5G,Yes,Latin America,60093,,3.24,68.56,48.17,130.83,75.69,0.0,9,14,2,134
2021,Q1,Galaxy Z Flip5 5G,Yes,Asia-Pacific,50612,24547804.33,4.38,76.13,16.43,58.21,60.85,4909560.865999999,9,15,1,135
2021,Q2,Galaxy S10,No,North America,33392,40200175.95,-0.14,69.32,24.76,255.14,39.33,8040035.190000001,10,1,4,136
2021,Q2,Galaxy Note10,No,North America,20351,10720475.02,3.45,77.71,3.3,285.13,73.56,2144095.004,10,2,4,137
2021,Q2,Galaxy S20,No,North America,9689,18237818.16,-0.39,45.74,39.58,291.06,65.82,3647563.632,10,3,4,138
2021,Q2,Galaxy Note20,No,Latin America,19360,21067765.94,0.71,72.25,24.64,119.68,71.1,4213553.188,10,4,2,139
2021,Q2,Galaxy S21,No,Asia-Pacific,41937,10442280.66,-0.2,67,23.33,106.63,42.6,2088456.1320000002,10,5,1,140
2021,Q2,Galaxy A32 5G,Yes,Middle East & Africa,26634,17977115.15,2.97,45.93,52.08,238.86,74.08,3595423.03,10,6,3,141
2021,Q2,Galaxy A52 5G,Yes,Middle East & Africa,36653,38555751.19,4.34,88.65,27.12,280.3,66,7711150.238,10,7,3,142
2021,Q2,Galaxy A73 5G,Yes,Asia-Pacific,61958,,4.58,59.36,24.48,62.63,92.83,0.0,10,8,1,143
2021,Q2,Galaxy Z Fold2 5G,Yes,Latin America,6501,38321092.72,5.279.999.999.999.990,74.46,32.11,93.6,93.25,7664218.544,10,9,2,144
2021,Q2,Galaxy Z Flip3 5G,Yes,Europe,31267,31015491.11,31.100.000.000.000.000,75.22,36.29,75.66,48.08,6203098.222,10,10,5,145
2021,Q2,Galaxy S22 5G,Yes,North America,27446,,5.890.000.000.000.000,93.07,25.38,199.61,89.51,0.0,10,11,4,146
2021,Q2,Galaxy Z Fold3 5G,Yes,Latin America,60479,,4.359.999.999.999.990,41.23,45.34,215.46,49.82,0.0,10,12,2,147
2021,Q2,Galaxy A14 5G,Yes,Europe,33576,15758344.55,6.65,73.37,14.85,69.65,58.52,3151668.91,10,13,5,148
2021,Q2,Galaxy S23 5G,Yes,Latin America,53719,32766472.26,2.82,96.44,40.48,160.45,71.77,6553294.4520000005,10,14,2,149
2021,Q2,Galaxy Z Flip5 5G,Yes,Middle East & Africa,34710,17998844.95,5.279.999.999.999.990,61.27,11.75,237.56,76.8,3599768.99,10,15,3,150
2021,Q3,Galaxy S10,No,Asia-Pacific,39031,18608941.01,3.81,33.54,15.3,107.98,58.3,3721788.2020000005,11,1,1,151
2021,Q3,Galaxy Note10,No,Europe,34903,18518248.49,02.05,53.32,5.41,217.97,54.81,3703649.698,11,2,5,152
2021,Q3,Galaxy S20,No,Latin America,35996,23537405.35,3.53,37.57,31.68,291.12,85.21,4707481.07,11,3,2,153
2021,Q3,Galaxy Note20,No,Latin America,42820,29532856.46,-0.47,68.24,19.11,188.16,46.5,5906571.292,11,4,2,154
2021,Q3,Galaxy S21,No,Middle East & Africa,28881,21441364.65,6.599.999.999.999.990,41.69,44.53,269.38,59.06,4288272.93,11,5,3,155
2021,Q3,Galaxy A32 5G,Yes,Middle East & Africa,55419,10737537.96,2.59,68.8,35.980.000.000.000.000,196.85,72.96,2147507.592,11,6,3,156
2021,Q3,Galaxy A52 5G,Yes,Europe,7872,,4.109.999.999.999.990,54.57,44.85,202.32,88.65,0.0,11,7,5,157
2021,Q3,Galaxy A73 5G,Yes,Middle East & Africa,24758,51101597.95,4.720.000.000.000.000,98.62,35.629.999.999.999.900,259.73,81.14,10220319.590000002,11,8,3,158
2021,Q3,Galaxy Z Fold2 5G,Yes,Asia-Pacific,50384,16798329.65,4.359.999.999.999.990,89.43,51.51,132.01,80.99,3359665.9299999997,11,9,1,159
2021,Q3,Galaxy Z Flip3 5G,Yes,North America,8281,15827206.45,2.87,97.24,49.02,297.81,77.33,3165441.29,11,10,4,160
2021,Q3,Galaxy S22 5G,Yes,Middle East & Africa,54330,37269680.39,06.02,48.4,15.34,212.64,88.87,7453936.078000001,11,11,3,161
2021,Q3,Galaxy Z Fold3 5G,Yes,Europe,32683,,4.859.999.999.999.990,53.85,21.86,99.2,71.55,0.0,11,12,5,162
2021,Q3,Galaxy A14 5G,Yes,Asia-Pacific,58052,45303231.34,5.93,82.65,33.54,271.18,90.26,9060646.268000001,11,13,1,163
2021,Q3,Galaxy S23 5G,Yes,Europe,28022,33044277.48,3.7,91.77,8.11,274.8,87,6608855.496,11,14,5,164
2021,Q3,Galaxy Z Flip5 5G,Yes,Asia-Pacific,55987,,2.81,47.52,46.97,166.12,82.49,0.0,11,15,1,165
2021,Q4,Galaxy S10,No,Asia-Pacific,5309,30375439.56,-0.17,38.35,33.49,297.3,66.82,6075087.9120000005,12,1,1,166
2021,Q4,Galaxy Note10,No,North America,39415,15774523.4,34.400.000.000.000.000,72.4,38.09,242.8,86.48,3154904.68,12,2,4,167
2021,Q4,Galaxy S20,No,Latin America,7734,10384187.42,2.43,37.34,20.93,122.97,82.42,2076837.4840000002,12,3,2,168
2021,Q4,Galaxy Note20,No,Europe,40180,,3.22,52.55,44.45,97.8,53.34,0.0,12,4,5,169
2021,Q4,Galaxy S21,No,Middle East & Africa,39509,57709591.71,4.399.999.999.999.990,52.43,9.26,214.47,84.68,11541918.342,12,5,3,170
2021,Q4,Galaxy A32 5G,Yes,Middle East & Africa,7653,25848407.75,6.33,6.602.000.000.000.000,9.81,183.48,54.28,5169681.550000001,12,6,3,171
2021,Q4,Galaxy A52 5G,Yes,Asia-Pacific,10112,41338291.91,3.44,40.870.000.000.000.000,37.22,93.6,72.67,8267658.381999999,12,7,1,172
2021,Q4,Galaxy A73 5G,Yes,North America,63494,10304716.72,3.98,74.63,53.48,296.12,93.14,2060943.3440000003,12,8,4,173
2021,Q4,Galaxy Z Fold2 5G,Yes,Europe,40197,47733241.81,4.21,63.71,37.93,70.52,74.59,9546648.362000002,12,9,5,174
2021,Q4,Galaxy Z Flip3 5G,Yes,Asia-Pacific,28000,39976458.88,6.67,56.79,11.35,240.77,51.48,7995291.776000001,12,10,1,175
2021,Q4,Galaxy S22 5G,Yes,Latin America,30537,,6.26,48.75,15.75,162.28,6.474.000.000.000.000,0.0,12,11,2,176
2021,Q4,Galaxy Z Fold3 5G,Yes,Europe,16890,,33.600.000.000.000.000,73.7,27.02,202.39,52.08,0.0,12,12,5,177
2021,Q4,Galaxy A14 5G,Yes,Asia-Pacific,50895,58673135.23,5.33,57.73,31.67,226.07,94.36,11734627.046,12,13,1,178
2021,Q4,Galaxy S23 5G,Yes,Asia-Pacific,14293,84264943.84,3.84,95.98,19.39,139.82,81.79,16852988.768000003,12,14,1,179
2021,Q4,Galaxy Z Flip5 5G,Yes,Europe,18172,,5.16,68.44,22.27,184.61,68.86,0.0,12,15,5,180
2022,Q1,Galaxy S10,No,Europe,23678,23302026.23,5.800.000.000.000.000,45.61,43.79,156.56,72.06,4660405.246,13,1,5,181
2022,Q1,Galaxy Note10,No,Latin America,24682,,3.89,65.35,41.22,202.74,65.05,0.0,13,2,2,182
2022,Q1,Galaxy S20,No,North America,49869,25015561.71,-0.1,66.77,25.65,137.77,75.23,5003112.342,13,3,4,183
2022,Q1,Galaxy Note20,No,North America,5718,47611430.59,34.000.000.000.000.000,60.400.000.000.000.000,15.37,128.61,41.67,9522286.118,13,4,4,184
2022,Q1,Galaxy S21,No,North America,35233,10414206.28,02.01,84.7,12.7,92.35,51.97,2082841.256,13,5,4,185
2022,Q1,Galaxy A32 5G,Yes,Europe,41857,71129083.79,4.859.999.999.999.990,73.91,45.53,173.38,53.59,14225816.758000001,13,6,5,186
2022,Q1,Galaxy A52 5G,Yes,Europe,33814,62983632.7,45.600.000.000.000.000,57.41,21.53,170.67,72.61,12596726.540000001,13,7,5,187
2022,Q1,Galaxy A73 5G,Yes,Europe,35418,14482116.28,04.01,91.45,65.600.000.000.000.000,157.75,57.04,2896423.256,13,8,5,188
2022,Q1,Galaxy Z Fold2 5G,Yes,Europe,39933,18632947.1,2.56,91.48,41.08,272.72,57.82,3726589.4200000004,13,9,5,189
2022,Q1,Galaxy Z Flip3 5G,Yes,Middle East & Africa,6800,,6.1,52.04,54.21,81.93,52.88,0.0,13,10,3,190
